,,,,,,,,,,
,,BLOCK POOL TECHNOLOGIES PRIVATE LIMITED,,,,,PURCHASE ORDER,,,
,,88,8905723460211,,XL,Black,1,799,799,
,,89,8905723460006,,S,Maroon,1,999,999,
,,90,8905723460013,,M,Maroon,2,999,"1,998",
,,91,8905723460020,,L,Maroon,2,999,"1,998",
,,92,8905723460037,,XL,Maroon,1,999,999,
,,93,8905723460068,,S,Green,1,999,999,
,,94,8905723460075,,M,Green,2,999,"1,998",
,,95,8905723460082,,L,Green,2,999,"1,998",
,,96,8905723460099,,XL,Green,1,999,999,
,,97,8905723461973,,S,Black,1,999,999,
,,98,8905723461980,,M,Black,2,999,"1,998",
,,99,8905723461997,,L,Black,2,999,"1,998",
,,100,8905723462000,,XL,Black,1,999,999,
,,101,8905723464233,,S,Sea Green,1,399,399,
,,102,8905723464240,,M,Sea Green,2,399,798,
,,103,8905723464257,,L,Sea Green,2,399,798,
,,104,8905723464264,,XL,Sea Green,1,399,399,
,,105,8905723464356,,S,Teal,1,399,399,
,,106,8905723464363,,M,Teal,2,399,798,
,,107,8905723464370,,L,Teal,2,399,798,
,,108,8905723464387,,XL,Teal,1,399,399,
,,109,8905723464479,,S,Blue,1,399,399,
,,110,8905723464486,,M,Blue,2,399,798,
,,111,8905723464493,,L,Blue,2,399,798,
,,112,8905723464509,,XL,Blue,1,399,399,
,,113,8905723464530,,S,Maroon,1,399,399,
,,114,8905723464547,,M,Maroon,2,399,798,
,,115,8905723464554,,L,Maroon,2,399,798,
,,116,8905723464561,,XL,Maroon,1,399,399,
,,117,8905723464592,,S,Blue,1,399,399,
,,118,8905723464608,,M,Blue,2,399,798,
,,119,8905723464615,,L,Blue,2,399,798,
,,120,8905723464622,,XL,Blue,1,399,399,
,,121,8905723468514,,S,Pink,1,799,799,
,,122,8905723468521,,M,Pink,2,799,"1,598",
,,123,8905723468538,,L,Pink,2,799,"1,598",
,,124,8905723468545,,XL,Pink,1,799,799,
,,125,8905723468583,,S,Turquoise,1,799,799,
,,126,8905723468590,,M,Turquoise,2,799,"1,598",
,,127,8905723468606,,L,Turquoise,2,799,"1,598",
,,128,8905723468613,,XL,Turquoise,1,799,799,
,,129,8905723468651,,S,Red,1,799,799,
,,130,8905723468668,,M,Red,2,799,"1,598",
,,131,8905723468675,,L,Red,2,799,"1,598",
,,132,8905723468682,,XL,Red,1,799,799,
,,133,8905723478865,,S,Pink,1,399,399,
,,134,8905723478872,,M,Pink,2,399,798,
,,135,8905723478889,,L,Pink,2,399,798,
,,136,8905723478896,,XL,Pink,1,399,399,
,,137,8905723465018,,S,Yellow,1,999,999,
,,138,8905723465025,,M,Yellow,2,999,"1,998",
,,139,8905723465032,,L,Yellow,2,999,"1,998",
,,140,8905723465049,,XL,Yellow,1,999,999,
,,141,8905723465070,,S,Beige,1,999,999,
,,142,8905723465087,,M,Beige,2,999,"1,998",
,,143,8905723465094,,L,Beige,2,999,"1,998",
,,144,8905723465100,,XL,Beige,1,999,999,
,,145,8905723465131,,S,Orange,1,999,999,
,,146,8905723465148,,M,Orange,2,999,"1,998",
,,147,8905723465155,,L,Orange,2,999,"1,998",
,,148,8905723465162,,XL,Orange,1,999,999,
,,149,8905723464899,,S,Green,1,999,999,
,,150,8905723464905,,M,Green,2,999,"1,998",
,,151,8905723464912,,L,Green,2,999,"1,998",
,,152,8905723464929,,XL,Green,1,999,999,
,,153,8905723481674,,S,Green,1,399,399,
,,154,8905723481681,,M,Green,2,399,798,
,,155,8905723481698,,L,Green,2,399,798,
,,156,8905723481704,,XL,Green,1,399,399,
,,157,8905723213855,,S,Teal,1,599,599,
,,158,8905723213862,,M,Teal,2,599,"1,198",
,,159,8905723213879,,L,Teal,2,599,"1,198",
,,160,8905723213886,,XL,Teal,1,599,599,
,,161,8905723480004,,S,Green,1,599,599,
,,162,8905723480011,,M,Green,2,599,"1,198",
,,163,8905723480028,,L,Green,2,599,"1,198",
,,164,8905723480035,,XL,Green,1,599,599,
,,165,8905723479947,,S,White,1,599,599,
,,166,8905723479954,,M,White,2,599,"1,198",
,,167,8905723479961,,L,White,2,599,"1,198",
,,168,8905723479978,,XL,White,1,599,599,
,,169,8905723481919,,S,Blue,1,399,399,
,,170,8905723481926,,M,Blue,2,399,798,
,,171,8905723481933,,L,Blue,2,399,798,
,,172,8905723481940,,XL,Blue,1,399,399,
,,173,8905723466060,,S,Off White,1,799,799,
,,174,8905723466077,,M,Off White,2,799,"1,598",
,,175,8905723466084,,L,Off White,2,799,"1,598",
,,176,8905723466091,,XL,Off White,1,799,799,
,,177,8905723465995,,S,Blue,1,799,799,
,,178,8905723466008,,M,Blue,2,799,"1,598",
,,179,8905723466015,,L,Blue,2,799,"1,598",
,,180,8905723466022,,XL,Blue,1,799,799,
,,181,8905723142582,,XL,Light Blue,1,549,549,
,,182,8905723481797,,S,Off White,1,399,399,
,,183,8905723481803,,M,Off White,2,399,798,
,,184,8905723481810,,L,Off White,2,399,798,
,,185,8905723481827,,XL,Off White,1,399,399,
,,186,8905723371005,,S,Yellow,1,699,699,
,,187,8905723371012,,M,Yellow,2,699,"1,398",
,,188,8905723371029,,L,Yellow,2,699,"1,398",
,,189,8905723371036,,XL,Yellow,1,699,699,
,,190,8905723457846,,S,Yellow,1,799,799,
,,191,8905723457853,,M,Yellow,2,799,"1,598",
,,192,8905723457860,,L,Yellow,2,799,"1,598",
,,193,8905723457877,,XL,Yellow,1,799,799,
,,194,8905723467463,,S,Fuchsia,1,799,799,
,,195,8905723467470,,M,Fuchsia,2,799,"1,598",
,,196,8905723467487,,L,Fuchsia,2,799,"1,598",
,,197,8905723467494,,XL,Fuchsia,1,799,799,
,,198,8905723467258,,S,Mauve,1,799,799,
,,199,8905723467265,,M,Mauve,2,799,"1,598",
,,200,8905723467272,,L,Mauve,2,799,"1,598",
,,201,8905723467289,,XL,Mauve,1,799,799,
,,202,8905723467043,,S,Beige,1,799,799,
,,203,8905723467050,,M,Beige,2,799,"1,598",
,,204,8905723467067,,L,Beige,2,799,"1,598",
,,205,8905723467074,,XL,Beige,1,799,799,
,,206,8905723466275,,S,Grey,1,799,799,
,,207,8905723466282,,M,Grey,2,799,"1,598",
,,208,8905723466299,,L,Grey,2,799,"1,598",
,,209,8905723466305,,XL,Grey,1,799,799,
,,210,8905723460488,,S,Maroon,1,999,999,
,,211,8905723460495,,M,Maroon,2,999,"1,998",
,,212,8905723460501,,L,Maroon,2,999,"1,998",
,,213,8905723460518,,XL,Maroon,1,999,999,
,,214,8905723473105,,S,Maroon,1,799,799,
,,215,8905723473112,,M,Maroon,2,799,"1,598",
,,216,8905723473129,,L,Maroon,2,799,"1,598",
,,217,8905723473136,,XL,Maroon,1,799,799,
,,218,8905723467395,,S,Grey,1,799,799,
,,219,8905723467401,,M,Grey,2,799,"1,598",
,,220,8905723467418,,L,Grey,2,799,"1,598",
,,221,8905723467425,,XL,Grey,1,799,799,
,,222,8905723459895,,M,White,2,999,"1,998",
,,223,8905723459901,,L,White,2,999,"1,998",
,,224,8905723459918,,XL,White,1,999,999,
,,225,8905723142513,,M,Green,2,399,798,
,,226,8905723142520,,L,Green,2,399,798,
,,227,8905723142537,,XL,Green,1,399,399,
,,228,8905723482671,,S,White,1,399,399,
,,229,8905723482688,,M,White,2,399,798,
,,230,8905723482695,,L,White,2,399,798,
,,231,8905723482701,,XL,White,1,399,399,
,,232,8905723482626,,S,Black,1,399,399,
,,233,8905723482633,,M,Black,2,399,798,
,,234,8905723482640,,L,Black,2,399,798,
,,235,8905723482657,,XL,Black,1,399,399,
,,236,8905723482572,,S,Off White,1,399,399,
,,237,8905723482589,,M,Off White,2,399,798,
,,238,8905723482596,,L,Off White,2,399,798,
,,239,8905723482602,,XL,Off White,1,399,399,
,,240,8905723482824,,S,White,1,399,399,
,,241,8905723482831,,M,White,2,399,798,
,,242,8905723482848,,L,White,2,399,798,
,,243,8905723482855,,XL,White,1,399,399,
,,244,8905723216276,,XL,Green,1,799,799,
,,245,8905723140311,,M,Pink,2,999,"1,998",
,,246,8905723140328,,L,Pink,2,999,"1,998",
,,247,8905723140335,,XL,Pink,1,999,999,
,,248,8905723216207,,XL,Navy Blue,1,799,799,
,,249,8905723216610,,L,Mint Green,2,839,"1,678",
,,250,8905723216627,,XL,Mint Green,1,839,839,
,,251,8905723375782,,S,Black&White,1,749,749,
,,252,8905723375799,,M,Black&White,2,749,"1,498",
,,253,8905723375805,,L,Black&White,2,749,"1,498",
,,254,8905723375812,,XL,Black&White,1,749,749,
,,255,8905723048785,,S,Black,1,399,399,
,,256,8905723048464,,M,Black,2,399,798,
,,257,8905723048402,,L,Black,2,399,798,
,,258,8905723048495,,XL,Black,1,399,399,
,,259,8905723376109,,S,Black&OffWhite,1,849,849,
,,260,8905723376093,,M,Black&OffWhite,2,849,"1,698",
,,261,8905723376086,,L,Black&OffWhite,2,849,"1,698",
,,262,8905723376116,,XL,Black&OffWhite,1,849,849,
,,263,8905723372781,,S,White,1,499,499,
,,264,8905723372798,,M,White,2,499,998,
,,265,8905723372804,,L,White,2,499,998,
,,266,8905723372811,,XL,White,1,499,499,
,,267,8905723140502,,S,Maroon,1,399,399,
,,268,8905723140519,,M,Maroon,2,399,798,
,,269,8905723140526,,L,Maroon,2,399,798,
,,270,8905723140533,,XL,Maroon,1,399,399,
,,271,8905723140946,,S,Off White,1,499,499,
,,272,8905723140953,,M,Off White,2,499,998,
,,273,8905723140960,,L,Off White,2,499,998,
,,274,8905723140977,,XL,Off White,1,499,499,
,,275,8905723465438,,S,White,1,599,599,
,,276,8905723465445,,M,White,2,599,"1,198",
,,277,8905723465452,,L,White,2,599,"1,198",
,,278,8905723465469,,XL,White,1,599,599,
,,Terms:,,,,,,Subtotal,,"312,953"
,,Commercials:,,,,,,,,
,,•⁠ The revenue share has been set at 30%,,,,,,,,
,,,,,,,,,,
,,Settlement Period:,,,,,,,,
,,•⁠  ⁠Settlements will be processed twice a month (on the 1st and 15th).,,,,,,Total Amount (Inc. GST),,"312,953.00"
,,"•⁠  ⁠The invoice should reflect a price that is 30% lower than the total value (selling price) of goods, accounting for our commission/revenue.",,,,,,,,
,,•⁠  ⁠The settlement amount will be based on the goods sold to the customers.,,,,,,,,
,,,,,,,,,,
,,Others,,,,,,,,
,,•⁠  ⁠The brand needs to generate the invoice at the time of dispatch along with the e-way bill & delivery challan,,,,,,,,
